ID;Image;Description;Name;Price;Type;Link;Text;
1;/assets/images/menu/ameijoas_a_bulhao_pato.jpeg;Photo du plat;Ameijoas à Bulhão Pato;20;starter;/templates/recipes.php#ameijoas_a_bulhao_pato/;Des palourdes cuisinées avec de l'ail, de la coriandre, du vin blanc et de l'huile d'olive.;
2;/assets/images/menu/arroz_de_marisco.jpeg;Photo du plat;Arroz De Marisco;25;main;/templates/recipes.php#arroz_de_marisco;Un riz aux fruits de mer, similaire à une paella mais avec une texture plus crémeuse, typique des régions côtières.;
3;/assets/images/menu/bacalhau_a_bras.jpeg;Photo du plat;Bacalhau à Bras;18;main;/templates/recipes.php#bacalhau_a_bras;Un plat à base de morue émiettée, mélangée avec des pommes de terre frites en julienne, des oignons et des œufs brouillés.;
4;/assets/images/menu/caldo_verde.jpeg;Photo du plat;Caldo Verde;8;starter;/templates/recipes.php#caldo_verde;Une soupe réconfortante à base de chou vert, pommes de terre, chorizo et oignon.;
5;/assets/images/menu/francesinha.jpeg;Photo du plat;Francesinha;15;main;/templates/recipes#francesinha;Un sandwich riche de Porto, garni de viandes diverses, recouvert de fromage fondu et nappé d'une sauce épicée à la tomate et à la bière.;
6;/assets/images/menu/leitao_a_bairrada.jpeg;Photo du plat;Leitão a Bairrada;20;main;/templates/recipes#leitao_a_bairrada;Un cochon de lait rôti, spécialité de la région de Bairrada, avec une peau croustillante et savoureuse.;
7;/assets/images/menu/pasteis_de_nata.jpeg;Photo du plat;Pasteis de Nata;3;dessert;/templates/recipes.php#pasteis_de_nata;Petits flans crémeux dans une pâte feuilletée croustillante, souvent saupoudrés de cannelle et de sucre glace.;
8;/assets/images/menu/polvo_a_lagareiro.jpeg;Photo du plat;Polvo à Lagareiro;30;main;/templates/recipes.php#polvo_a_lagareiro;Du poulpe rôti avec de l'ail et de l'huile d'olive, accompagné de pommes de terre rôties.;
9;/assets/images/menu/queijo_da_serra.jpeg;Photo du plat;Queijo da Serra;10;cheese;/templates/recipes.php#queijo_da_serra;Un fromage artisanal de brebis, crémeux et légèrement salé, produit dans la région montagneuse de Serra da Estrela.;
10;/assets/images/menu/sardinhas_assadas.jpeg;Photo du plat;Sardinhas Assadas;15;main;/templates/recipes.php#sardinhas_assadas;Des sardines grillées, servies avec du pain, des poivrons et des pommes de terre, surtout populaires pendant les fêtes de la Saint-Antoine.;